0.2480000000000002 [-0.5, 0.0] 0 0
0.32300000000000023 [-0.5, 0.01] 0 1
0.45400000000000035 [-0.5, 0.02] 0 2
0.22300000000000017 [-0.5, 0.03] 0 3
0.25400000000000017 [-0.5, 0.04] 0 4
0.47900000000000037 [-0.5, 0.05] 0 5
0.36500000000000027 [-0.5, 0.06] 0 6
0.22700000000000017 [-0.5, 0.07] 0 7
0.20200000000000015 [-0.5, 0.08] 0 8
0.20400000000000015 [-0.5, 0.09] 0 9
0.22400000000000017 [-0.5, 0.1] 0 10
0.35300000000000026 [-0.5, 0.11] 0 11
0.3070000000000002 [-0.5, 0.12] 0 12
0.23400000000000018 [-0.5, 0.13] 0 13
0.7500000000000006 [-0.5, 0.14] 0 14
0.3780000000000003 [-0.5, 0.15] 0 15
0.2490000000000002 [-0.5, 0.16] 0 16
0.21700000000000016 [-0.5, 0.17] 0 17
0.21900000000000017 [-0.5, 0.18] 0 18
0.2570000000000002 [-0.5, 0.19] 0 19
0.3880000000000003 [-0.5, 0.2] 0 20
0.3060000000000002 [-0.5, 0.21] 0 21
0.2440000000000002 [-0.5, 0.22] 0 22
0.9000000000000007 [-0.5, 0.23] 0 23
0.32700000000000023 [-0.5, 0.24] 0 24
0.2410000000000002 [-0.5, 0.25] 0 25
0.3810000000000003 [-0.5, 0.26] 0 26
0.4080000000000003 [-0.5, 0.27] 0 27
0.2600000000000002 [-0.5, 0.28] 0 28
0.3970000000000003 [-0.5, 0.29] 0 29
0.25500000000000017 [-0.5, 0.3] 0 30
0.4090000000000003 [-0.5, 0.31] 0 31
0.5400000000000004 [-0.5, 0.32] 0 32
0.33100000000000024 [-0.5, 0.33] 0 33
0.3120000000000002 [-0.5, 0.34] 0 34
0.47700000000000037 [-0.5, 0.35] 0 35
0.3160000000000002 [-0.5, 0.36] 0 36
0.2860000000000002 [-0.5, 0.37] 0 37
0.36500000000000027 [-0.5, 0.38] 0 38
0.3990000000000003 [-0.5, 0.39] 0 39
0.32300000000000023 [-0.5, 0.4] 0 40
0.3040000000000002 [-0.5, 0.41] 0 41
0.4170000000000003 [-0.5, 0.42] 0 42
0.7370000000000005 [-0.5, 0.43] 0 43
0.32500000000000023 [-0.5, 0.44] 0 44
0.5060000000000003 [-0.5, 0.45] 0 45
