0.5290000000000004 [0.0, 0.0] 0 0
0.5770000000000004 [0.0, 0.01] 0 1
0.5930000000000004 [0.0, 0.02] 0 2
0.35100000000000026 [0.0, 0.03] 0 3
0.5230000000000004 [0.0, 0.04] 0 4
0.35300000000000026 [0.0, 0.05] 0 5
0.4890000000000004 [0.0, 0.06] 0 6
0.5450000000000004 [0.0, 0.07] 0 7
0.4990000000000004 [0.0, 0.08] 0 8
0.5210000000000004 [0.0, 0.09] 0 9
0.6550000000000005 [0.0, 0.1] 0 10
0.5540000000000004 [0.0, 0.11] 0 11
0.43600000000000033 [0.0, 0.12] 0 12
0.3770000000000003 [0.0, 0.13] 0 13
0.5110000000000003 [0.0, 0.14] 0 14
0.3810000000000003 [0.0, 0.15] 0 15
0.3820000000000003 [0.0, 0.16] 0 16
0.4240000000000003 [0.0, 0.17] 0 17
0.3800000000000003 [0.0, 0.18] 0 18
0.3830000000000003 [0.0, 0.19] 0 19
0.5380000000000004 [0.0, 0.2] 0 20
0.44200000000000034 [0.0, 0.21] 0 21
0.3860000000000003 [0.0, 0.22] 0 22
0.9020000000000007 [0.0, 0.23] 0 23
0.3860000000000003 [0.0, 0.24] 0 24
0.6590000000000005 [0.0, 0.25] 0 25
0.5950000000000004 [0.0, 0.26] 0 26
0.4120000000000003 [0.0, 0.27] 0 27
0.4250000000000003 [0.0, 0.28] 0 28
0.6030000000000004 [0.0, 0.29] 0 29
0.7640000000000006 [0.0, 0.3] 0 30
0.5190000000000003 [0.0, 0.31] 0 31
0.4120000000000003 [0.0, 0.32] 0 32
0.46900000000000036 [0.0, 0.33] 0 33
0.6770000000000005 [0.0, 0.34] 0 34
0.6600000000000005 [0.0, 0.35] 0 35
0.4220000000000003 [0.0, 0.36] 0 36
0.7480000000000006 [0.0, 0.37] 0 37
0.47900000000000037 [0.0, 0.38] 0 38
0.7290000000000005 [0.0, 0.39] 0 39
0.43600000000000033 [0.0, 0.4] 0 40
1.8649999999999054 [0.0, 0.41] 0 41
0.6030000000000004 [0.0, 0.42] 0 42
0.44500000000000034 [0.0, 0.43] 0 43
0.47600000000000037 [0.0, 0.44] 0 44
1.1659999999999824 [0.0, 0.45] 0 45
0.7620000000000006 [0.0, 0.46] 0 46
0.6630000000000005 [0.0, 0.47] 0 47
0.6150000000000004 [0.0, 0.48] 0 48
0.6040000000000004 [0.0, 0.49] 0 49
0.6250000000000004 [0.0, 0.5] 0 50
0.6800000000000005 [0.0, 0.51] 0 51
0.7810000000000006 [0.0, 0.52] 0 52
1.0769999999999922 [0.0, 0.53] 0 53
0.5170000000000003 [0.0, 0.54] 0 54
0.5170000000000003 [0.0, 0.55] 0 55
0.5690000000000004 [0.0, 0.56] 0 56
0.8150000000000006 [0.0, 0.57] 0 57
0.7000000000000005 [0.0, 0.58] 0 58
0.5250000000000004 [0.0, 0.59] 0 59
0.8230000000000006 [0.0, 0.6] 0 60
0.7670000000000006 [0.0, 0.61] 0 61
0.6560000000000005 [0.0, 0.62] 0 62
0.5320000000000004 [0.0, 0.63] 0 63
0.6060000000000004 [0.0, 0.64] 0 64
0.7710000000000006 [0.0, 0.65] 0 65
0.6390000000000005 [0.0, 0.66] 0 66
0.5570000000000004 [0.0, 0.67] 0 67
0.7600000000000006 [0.0, 0.68] 0 68
0.5750000000000004 [0.0, 0.69] 0 69
1.2089999999999776 [0.0, 0.7] 0 70
0.6770000000000005 [0.0, 0.71] 0 71
0.6300000000000004 [0.0, 0.72] 0 72
1.5999999999999346 [0.0, 0.73] 0 73
0.7780000000000006 [0.0, 0.74] 0 74
0.5960000000000004 [0.0, 0.75] 0 75
0.7970000000000006 [0.0, 0.76] 0 76
